Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.246150970458984,35.09894231308452,26.652757527018196,28.78433790489176,855215656
1,2007-10-08,30.595378875732422,33.33598086901417,30.403055089829273,33.33598086901417,126671715
2,2007-10-09,32.67888259887695,32.96736615216298,28.960638057695306,30.61140916310034,116725709
3,2007-10-10,32.9833984375,33.65652972766594,32.69491484102285,33.5283131051732,67931378
4,2007-10-11,36.66958236694336,38.46459737484443,32.6949090728912,38.46459737484443,106320954
5,2007-10-12,36.42917251586914,37.79145980080954,35.579747195951185,35.90028538064305,99410791
6,2007-10-15,36.90998458862305,37.40682144799589,36.58944636228364,37.18244295052713,41814972
7,2007-10-16,40.676307678222656,41.317388461617384,36.701634645673415,36.958063480969045,138614496
8,2007-10-17,43.849639892578125,44.87535959020394,34.00911260491534,36.541365852552126,204876259
9,2007-10-18,42.311065673828125,47.90446093011575,40.50002508933269,44.55483384693941,146617799
10,2007-10-19,42.16681671142578,43.88169716232731,40.06728863407934,41.34944159212488,110266491
11,2007-10-22,41.605873107910156,42.90405118634462,40.227556125264066,41.31738957354449,72253405
12,2007-10-23,44.57084655761719,44.97151929452762,42.63158790242426,42.63158790242426,74594921
13,2007-10-24,43.881690979003906,45.997243931194305,43.384854169223146,45.51643229209978,63055170
14,2007-10-25,43.7855339050293,44.81125802977905,38.672947149682514,42.39119166742761,34522489
15,2007-10-26,45.09975051879883,45.8209617141817,43.35281499539535,44.55483365436681,62370025
16,2007-10-29,46.013267517089844,47.11912598852198,45.61259478795898,45.83697325530321,43657697
17,2007-10-30,47.03899002075195,48.305113197985385,45.26000054864165,46.63831730373305,79921711
18,2007-10-31,48.01663589477539,49.0744146124712,47.119130632104195,47.27939973955104,44655368
19,2007-11-01,46.94283676147461,49.571252128937125,46.55819347317795,49.20263401397766,50632492
20,2007-11-02,47.792259216308594,48.080747098706794,44.87536048073065,45.2439829198888,32001693
21,2007-11-05,48.76988983154297,49.84369346251345,47.471707765118325,47.760195567152735,38833135
22,2007-11-06,49.410980224609375,52.53622796058773,48.737849073498445,49.61932920415901,81880281
23,2007-11-07,48.68976593017578,51.02969310770689,47.59993689334729,50.32451165920737,33593141
24,2007-11-08,47.85635757446289,49.154539703414876,46.79858340797781,47.43965971435106,27990521
25,2007-11-12,49.01030349731445,49.875758385953496,45.14781553588775,46.41394317897495,35153735
26,2007-11-13,50.180274963378906,51.18996959388226,48.25704543953316,49.84371153573723,43830531
27,2007-11-14,49.523170471191406,51.766938121671664,49.26673727401825,51.06175226391807,36738579
28,2007-11-15,50.3565559387207,51.23803582779013,49.410966682324606,50.452715642133924,29242252
29,2007-11-16,50.00397491455078,51.141883846320624,49.42700351517543,50.13218933188603,18895294
30,2007-11-19,51.815006256103516,53.69015538039711,50.757232056541525,51.14187524384721,40716718
31,2007-11-20,51.013671875,53.049090520866926,50.388620582601064,51.60666847463371,26342171
32,2007-11-21,47.03899002075195,51.62268416441742,45.90107689587191,51.318175508029384,26814499
